         341544 function calls (334336 primitive calls) in 17.175 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.002    0.000 D:\GitHub Repos\salespro\run copy.py:110(render_non_final_words)
      129    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:356(_escape)
      188    0.000    0.000    0.000    0.000 {method '_release_save' of '_thread.RLock' objects}
      112    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\weakref.py:165(__setitem__)
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
     29/3    0.000    0.000    0.104    0.035 {built-in method builtins.exec}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
       27    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        5    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\util\url.py:210(_encode_invalid_chars)
       27    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       12    0.000    0.000    0.000    0.000 {built-in method _winapi.CloseHandle}
       76    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_compile.py:435(_mk_bitmap)
       26    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_compile.py:560(_compile_info)
     1580    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     29/3    0.000    0.000    0.106    0.035 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      179    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\yacc.py:3140(<lambda>)
        2    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\urllib\request.py:2487(getproxies_environment)
     27/3    0.000    0.000    0.105    0.035 <frozen importlib._bootstrap>:664(_load_unlocked)
       31    0.000    0.000    7.923    0.256 C:\Users\zas47\anaconda3\lib\site-packages\soniox\transcribe_live.py:18(transcribe_capture)
      179    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\inspect.py:850(getmodule)
       60    0.000    0.000    0.013    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:723(<listcomp>)
      781    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      524    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:82(groups)
        1    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\lex.py:663(get_rules)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:581(_module_repr_from_spec)
      236    0.000    0.000    0.001    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:97(closegroup)
      316    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       28    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
       92    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\grpc\_channel.py:170(_event_handler)
      137    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\typing.py:986(__setattr__)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       91    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:1011(p_struct_declaration_list)
      194    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\grpc\_simple_stubs.py:72(ChannelCache)
        2    0.000    0.000    0.008    0.004 C:\Users\zas47\anaconda3\lib\subprocess.py:758(__init__)
       65    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\lex.py:263(begin)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      104    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\sre_parse.py:296(_class_escape)
       12    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\threading.py:236(__init__)
       83    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\ply\lex.py:533(_statetoken)
      609    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:294(_module_repr)
       12    0.000    0.000    0.000    0.000 {method 'new' of '_cffi_backend.FFI' objects}
      378    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      290    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      176    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\pycparser\c_parser.py:885(p_type_qualifier)
       40    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\os.py:675(__getitem__)
      729    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
     27/3    0.000    0.000    0.105    0.035 <frozen importlib._bootstrap_external>:877(exec_module)
    23/19    0.000    0.000    0.003    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\model.py:403(finish_backend_type)
      224    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
       36    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\typing.py:146(_type_check)
        1    0.000    0.000    0.005    0.005 C:\Users\zas47\anaconda3\lib\site-packages\soundcard\mediafoundation.py:280(device_ptr)
       12    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      112    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\weakref.py:195(get)
       83    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\enum.py:359(__call__)
        4    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\langchain\load\serializable.py:64(to_json)
    61/59    0.000    0.000    0.012    0.000 C:\Users\zas47\anaconda3\lib\site-packages\cffi\commontypes.py:25(resolve_common_type)
    15/14    0.000    0.000    0.075    0.005 C:\Users\zas47\anaconda3\lib\site-packages\cffi\cparser.py:554(parse_type_and_quals)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       91    0.000    0.000    0.000    0.000 {method 'HasField' of 'google._upb._message.Message' objects}
