         61553 function calls (60774 primitive calls) in 58.221 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.002    0.000 C:\Users\zas47\anaconda3\lib\email\parser.py:41(parse)
  308/182    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
  117/109    0.000    0.000    0.001    0.000 {method 'join' of 'bytes' objects}
       23    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
       16    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\contextlib.py:102(__init__)
        8    0.000    0.000    0.003    0.000 C:\Users\zas47\anaconda3\lib\site-packages\requests\models.py:352(prepare)
       16    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       93    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\string.py:267(get_field)
       14    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\logging\__init__.py:597(formatTime)
       11    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\urllib3\poolmanager.py:171(__init__)
        5    0.000    0.000    0.088    0.018 C:\Users\zas47\anaconda3\lib\socket.py:938(getaddrinfo)
        8    0.000    0.000    0.000    0.000 C:\Users\zas47\anaconda3\lib\site-packages\requests\models.py:495(prepare_body)
